Senaryo,Ay,Aktif Kullanıcı,Sipariş Dönüşüm Oranı,Tahmini Sipariş Sayısı,Ortalama Sepet Tutarı,Toplam Sepet Hacmi,Komisyon Oranı,Komisyon Geliri,Premium Kullanıcı Sayısı,Premium Geliri,Sponsorlu İçerik Geliri,Toplam Gelir,Server/Yazılım Gideri,Pazarlama Gideri,Operasyon Gideri,Toplam Gider,Net Kar/Zarar,Kümülatif Kar/Zarar
Kötümser,1,500,4%,20,350,7000,8%,560,5,395,0,955,2500,5000,3000,10500,-9545,-9545
Kötümser,2,560,4%,22,350,7700,8%,616,6,474,0,1090,2500,5000,3000,10500,-9410,-18955
Kötümser,3,627,4%,25,350,8750,8%,700,6,474,0,1174,2500,5000,3000,10500,-9326,-28281
Kötümser,4,702,4%,28,350,9800,8%,784,7,553,1000,2337,2500,10000,5000,17500,-15163,-43444
Kötümser,5,787,4%,31,350,10850,8%,868,8,632,2000,3500,2500,10000,5000,17500,-14000,-57444
Kötümser,6,881,4%,35,350,12250,8%,980,9,711,3000,4691,2500,10000,5000,17500,-12809,-70253
Kötümser,7,987,4%,39,350,13650,8%,1092,10,790,4000,5882,2500,10000,7500,20000,-14118,-84371
Kötümser,8,1105,4%,44,350,15400,8%,1232,11,869,5000,7101,2500,10000,7500,20000,-12899,-97270
Kötümser,9,1238,4%,50,350,17500,8%,1400,12,948,6000,8348,2500,15000,7500,25000,-16652,-113922
Kötümser,10,1387,4%,55,350,19250,8%,1540,14,1106,7000,9646,2500,15000,10000,27500,-17854,-131776
Kötümser,11,1553,4%,62,350,21700,8%,1736,16,1264,8000,11000,2500,15000,10000,27500,-16500,-148276
Kötümser,12,1739,4%,70,350,24500,8%,1960,17,1343,9000,12303,2500,15000,10000,27500,-15197,-163473
Gerçekçi,1,500,8%,40,450,18000,8%,1440,10,790,0,2230,2500,5000,3000,10500,-8270,-8270
Gerçekçi,2,625,8%,50,450,22500,8%,1800,13,1027,0,2827,2500,5000,3000,10500,-7673,-15943
Gerçekçi,3,781,8%,62,450,27900,8%,2232,16,1264,0,3496,2500,5000,3000,10500,-7004,-22947
Gerçekçi,4,977,8%,78,450,35100,8%,2808,20,1580,3000,7388,2500,10000,5000,17500,-10112,-33059
Gerçekçi,5,1221,8%,98,450,44100,8%,3528,24,1896,4000,9424,2500,10000,5000,17500,-8076,-41135
Gerçekçi,6,1526,8%,122,450,54900,8%,4392,31,2449,5000,11841,2500,10000,5000,17500,-5659,-46794
Gerçekçi,7,1907,8%,153,450,68850,8%,5508,38,3002,7500,16010,2500,10000,7500,20000,-3990,-50784
Gerçekçi,8,2384,8%,191,450,85950,8%,6876,48,3792,10000,20668,2500,10000,7500,20000,668,-50116
Gerçekçi,9,2980,8%,238,450,107100,8%,8568,60,4740,12500,25808,2500,15000,7500,25000,808,-49308
Gerçekçi,10,3725,8%,298,450,134100,8%,10728,75,5925,15000,31653,2500,15000,10000,27500,4153,-45155
Gerçekçi,11,4657,8%,373,450,167850,8%,13428,93,7347,17500,38275,2500,15000,10000,27500,10775,-34380
Gerçekçi,12,5821,8%,466,450,209700,8%,16776,116,9164,20000,45940,2500,15000,10000,27500,18440,-15940
İyimser,1,500,12%,60,520,31200,8%,2496,20,1580,0,4076,2500,5000,3000,10500,-6424,-6424
İyimser,2,690,12%,83,520,43160,8%,3453,28,2212,0,5665,2500,5000,3000,10500,-4835,-11259
İyimser,3,952,12%,114,520,59280,8%,4742,38,3002,0,7744,2500,5000,3000,10500,-2756,-14015
İyimser,4,1314,12%,158,520,82160,8%,6573,53,4187,5000,15760,2500,10000,5000,17500,-1740,-15755
İyimser,5,1813,12%,218,520,113360,8%,9069,73,5767,7500,22336,2500,10000,5000,17500,4836,-10919
İyimser,6,2502,12%,300,520,156000,8%,12480,100,7900,10000,30380,2500,10000,5000,17500,12880,1961
İyimser,7,3453,12%,414,520,215280,8%,17222,138,10902,15000,43124,2500,10000,7500,20000,23124,25085
İyimser,8,4766,12%,572,520,297440,8%,23795,191,15089,20000,58884,2500,10000,7500,20000,38884,63969
İyimser,9,6577,12%,789,520,410280,8%,32822,263,20777,25000,78599,2500,15000,7500,25000,53599,117568
İyimser,10,9076,12%,1089,520,566280,8%,45302,363,28677,30000,103979,2500,15000,10000,27500,76479,194047
İyimser,11,12525,12%,1503,520,781560,8%,62525,501,39579,35000,137104,2500,15000,10000,27500,109604,303651
İyimser,12,17284,12%,2074,520,1078480,8%,86278,691,54589,40000,180867,2500,15000,10000,27500,153367,457018

